timestamp_unix,timestamp_utc,timestamp_ist,pm2_5,pm10,temp_c,humidity,co,no,no2,o3,so2,nh3,AQI_PM25,AQI_PM10,AQI,AQI_Category,hour,day,weekday,month,pm2_5_3h_avg,pm10_3h_avg,co_3h_avg,no_3h_avg,no2_3h_avg,o3_3h_avg,so2_3h_avg,nh3_3h_avg,temp_c_3h_avg,humidity_3h_avg,pm2_5_24h_avg,pm10_24h_avg,co_24h_avg,no_24h_avg,no2_24h_avg,o3_24h_avg,so2_24h_avg,nh3_24h_avg,temp_c_24h_avg,humidity_24h_avg,pm2_5_lag_1h,pm2_5_lag_3h,pm2_5_lag_24h,pm10_lag_1h,pm10_lag_3h,pm10_lag_24h,co_lag_1h,co_lag_3h,co_lag_24h,no_lag_1h,no_lag_3h,no_lag_24h,no2_lag_1h,no2_lag_3h,no2_lag_24h,o3_lag_1h,o3_lag_3h,o3_lag_24h,so2_lag_1h,so2_lag_3h,so2_lag_24h,nh3_lag_1h,nh3_lag_3h,nh3_lag_24h,temp_c_lag_1h,temp_c_lag_3h,temp_c_lag_24h,humidity_lag_1h,humidity_lag_3h,humidity_lag_24h,AQI_lag_1h,AQI_lag_3h,AQI_lag_24h
1755986400,2025-08-23 22:00:00,2025-08-24 03:30:00,16.98,21.32,,,297.41,0.01,13.63,19.32,5.19,6.795,28.3,21.32,28,Good,3,24,6,8,16.98,21.32,297.41,0.01,13.63,19.32,5.19,6.795,,,16.98,21.32,297.41,0.01,13.63,19.32,5.19,6.795,,,16.98,16.98,16.98,21.32,21.32,21.32,297.41,297.41,297.41,0.01,0.01,0.01,13.63,13.63,13.63,19.32,19.32,19.32,5.19,5.19,5.19,6.795,6.795,6.795,,,,,,,28.0,28.0,28.0
1755990000,2025-08-23 23:00:00,2025-08-24 04:30:00,16.57,20.66,,,292.55,0.01,12.83,17.48,4.76,6.795,27.616666666666667,20.66,28,Good,4,24,6,8,16.775,20.99,294.98,0.01,13.23,18.4,4.975,6.795,,,16.775,20.99,294.98,0.01,13.23,18.4,4.975,6.795,,,16.98,16.98,16.98,21.32,21.32,21.32,297.41,297.41,297.41,0.01,0.01,0.01,13.63,13.63,13.63,19.32,19.32,19.32,5.19,5.19,5.19,6.795,6.795,6.795,,,,,,,28.0,28.0,28.0
1755993600,2025-08-24 00:00:00,2025-08-24 05:30:00,15.9,19.74,,,284.7,0.02,12.14,15.87,4.33,6.795,26.5,19.74,26,Good,5,24,6,8,16.483333333333334,20.57333333333333,291.55333333333334,0.0133333333333333,12.866666666666667,17.55666666666667,4.760000000000001,6.795,,,16.483333333333334,20.57333333333333,291.55333333333334,0.0133333333333333,12.866666666666667,17.55666666666667,4.760000000000001,6.795,,,16.57,16.98,16.98,20.66,21.32,21.32,292.55,297.41,297.41,0.01,0.01,0.01,12.83,13.63,13.63,17.48,19.32,19.32,4.76,5.19,5.19,6.795,6.795,6.795,,,,,,,28.0,28.0,28.0
1755997200,2025-08-24 01:00:00,2025-08-24 06:30:00,14.44,18.08,,,268.42,0.04,11.32,14.87,4.08,6.795,24.066666666666663,18.08,24,Good,6,24,6,8,15.636666666666663,19.49333333333333,281.89,0.0233333333333333,12.096666666666666,16.073333333333334,4.39,6.795,,,15.9725,19.95,285.77,0.02,12.48,16.884999999999998,4.59,6.795,,,15.9,16.98,16.98,19.74,21.32,21.32,284.7,297.41,297.41,0.02,0.01,0.01,12.14,13.63,13.63,15.87,19.32,19.32,4.33,5.19,5.19,6.795,6.795,6.795,,,,,,,26.0,28.0,28.0
1756000800,2025-08-24 02:00:00,2025-08-24 07:30:00,13.1,16.97,,,260.9,0.95,9.24,15.5,4.24,6.795,21.83333333333333,16.97,22,Good,7,24,6,8,14.48,18.26333333333333,271.34,0.3366666666666666,10.9,15.413333333333332,4.216666666666668,6.795,,,15.398,19.354,280.796,0.206,11.832,16.607999999999997,4.5200000000000005,6.795,,,14.44,16.57,16.98,18.08,20.66,21.32,268.42,292.55,297.41,0.04,0.01,0.01,11.32,12.83,13.63,14.87,17.48,19.32,4.08,4.76,5.19,6.795,6.795,6.795,,,,,,,24.0,28.0,28.0
1756004400,2025-08-24 03:00:00,2025-08-24 08:30:00,11.82,15.89,,,250.87,0.95,6.58,19.73,4.97,6.795,19.700000000000003,15.89,20,Good,8,24,6,8,13.12,16.98,260.06333333333333,0.6466666666666666,9.046666666666669,16.7,4.43,6.795,,,14.801666666666668,18.776666666666667,275.80833333333334,0.33,10.956666666666669,17.128333333333334,4.595,6.795,,,13.1,15.9,16.98,16.97,19.74,21.32,260.9,284.7,297.41,0.95,0.02,0.01,9.24,12.14,13.63,15.5,15.87,19.32,4.24,4.33,5.19,6.795,6.795,6.795,,,,,,,22.0,26.0,28.0
1756008000,2025-08-24 04:00:00,2025-08-24 09:30:00,11.35,15.05,,,214.23,0.95,6.03,29.18,8.26,6.795,18.916666666666668,15.05,19,Good,9,24,6,8,12.089999999999998,15.97,242.0,0.95,7.283333333333334,21.47,5.823333333333333,6.795,,,14.308571428571428,18.244285714285716,267.0114285714285,0.4185714285714285,10.252857142857142,18.85,5.118571428571428,6.795,,,11.82,14.44,16.98,15.89,18.08,21.32,250.87,268.42,297.41,0.95,0.04,0.01,6.58,11.32,13.63,19.73,14.87,19.32,4.97,4.08,5.19,6.795,6.795,6.795,,,,,,,20.0,24.0,28.0
1756011600,2025-08-24 05:00:00,2025-08-24 10:30:00,14.43,18.14,,,196.74,0.95,5.99,43.47,10.44,6.13,24.05,18.14,24,Good,10,24,6,8,12.533333333333331,16.36,220.61333333333332,0.95,6.2,30.793333333333333,7.89,6.573333333333333,,,14.32375,18.23125,258.2275,0.485,9.72,21.9275,5.78375,6.711875,,,11.35,13.1,16.98,15.05,16.97,21.32,214.23,260.9,297.41,0.95,0.95,0.01,6.03,9.24,13.63,29.18,15.5,19.32,8.26,4.24,5.19,6.795,6.795,6.795,,,,,,,19.0,22.0,28.0
1756015200,2025-08-24 06:00:00,2025-08-24 11:30:00,17.95,21.76,,,188.73,0.95,5.94,57.3,11.82,5.89,29.916666666666668,21.76,30,Good,11,24,6,8,14.576666666666666,18.316666666666663,199.9,0.95,5.986666666666667,43.31666666666666,10.173333333333334,6.271666666666666,,,14.726666666666668,18.62333333333333,250.5055555555556,0.5366666666666666,9.3,25.857777777777777,6.454444444444444,6.620555555555556,,,14.43,11.82,16.98,18.14,15.89,21.32,196.74,250.87,297.41,0.95,0.95,0.01,5.99,6.58,13.63,43.47,19.73,19.32,10.44,4.97,5.19,6.13,6.795,6.795,,,,,,,24.0,20.0,28.0
1756018800,2025-08-24 07:00:00,2025-08-24 12:30:00,14.02,17.06,,,174.12,0.95,5.31,54.74,10.46,4.71,23.366666666666667,17.06,23,Good,12,24,6,8,15.466666666666663,18.986666666666668,186.53,0.95,5.746666666666666,51.836666666666666,10.906666666666666,5.576666666666667,,,14.656,18.467,242.867,0.578,8.901,28.746,6.855,6.4295,,,17.95,11.35,16.98,21.76,15.05,21.32,188.73,214.23,297.41,0.95,0.95,0.01,5.94,6.03,13.63,57.3,29.18,19.32,11.82,8.26,5.19,5.89,6.795,6.795,,,,,,,30.0,19.0,28.0
